ad_id,advertiser_name,keywords,bid_price,quality_score,historical_clicks,historical_impressions
8ee34d58-0ac2-5e00-ba0b-4ad4958706eb,"Rodriguez, Figueroa and Sanchez",fashion|jackets,3.64,8.73,481,4268
bff8799c-d478-59aa-b893-e052d8502907,Doyle Ltd,jackets|jeans,2.53,2.15,841,15785
e8adf9db-dcb6-599c-a69c-eee41dbedcde,"Mcclain, Miller and Henderson",beauty|education,2.50,8.40,1221,9174
db5413c4-8297-5558-b3ed-4ee87c2b2cfd,Davis and Sons,books|shoes,3.91,6.68,1549,16604
876d705a-6329-56e4-a765-c95a6799be05,"Guzman, Hoffman and Baldwin",finance|headphones,1.38,8.01,953,7468
9a49a436-4204-5a58-a1fc-69b7e273c776,"Gardner, Robinson and Lawrence",fitness|jackets|travel,1.97,9.71,2002,14971
40820759-39b6-5fe2-827c-97861b1789f2,Blake and Sons,beauty|headphones,2.64,2.17,341,6804
a7181f49-9139-5908-8e0e-d2f6b005f28f,"Henderson, Ramirez and Lewis",education|headphones,1.91,7.30,1707,16703
84db7914-1920-59af-8b2e-46d9053f38dc,Garcia-James,jackets|skincare|smartphone,1.13,7.14,1854,16704
fcbe0509-af85-58ff-a398-9b62b4493cdd,Abbott-Munoz,beauty|jackets,4.01,7.35,1418,13397
95ef7ebb-1a03-5a35-adab-ad91113ceeb4,Blair PLC,fitness|gym|running|travel,3.04,5.24,160,1860
51e52386-f9ad-5287-9f4d-c9dae2dce663,Dudley Group,beauty|books|gaming|sneakers|travel,2.34,2.93,284,8903
4d897654-6b12-5dc2-bd6f-a16fc423382d,Arnold Ltd,skincare|yoga,1.82,3.53,469,8856
f3822071-4f19-575c-a91d-6c10f2c3fa40,"Mcclure, Ward and Lee",fashion|finance|headphones|jeans,0.60,2.50,642,16336
ec26023d-795e-5969-8702-867240b5f0bb,Williams and Sons,fashion|headphones|hotel|vacation|workout,2.51,7.27,377,3574
624b4174-590f-59f0-ad0b-e2a7d984490b,Galloway-Wyatt,hotel|insurance|vacation,4.83,2.06,91,2026
a6044a6f-ee24-5302-9192-c881ebfa565f,James Group,gym|headphones|vacation,3.73,8.01,1886,15843
